age_days,n_authors,n_edits,n_sections,name
5745.8508903574075,613,1136,7,"Magnolia
"
4836.851318361077,69,116,3,"Mahonia
"
4428.007056182049,37,49,0,"Malpighia
"
5026.529309685544,43,68,1,"Menispermum
"
4100.7818874745835,27,44,2,"Menziesia
"
4451.94005489713,168,277,0,"Mespilus
"
4449.97897470051,32,47,3,"Microcachrys
"
4579.571735644746,96,129,0,"Myrica
"
5025.496617008889,228,328,0,"Myrtus
"
4745.445182684642,500,1083,9,"Nerium
"
4295.146657352511,46,83,0,"Olearia
"
4506.923271170753,80,110,2,"Osmanthus
"
4558.3164755567705,50,68,1,"Pachysandra
"
5055.1895783624195,372,823,9,"Peony
"
4861.130003011991,43,52,0,"Perovskia
"
4455.401943779652,58,118,0,"Persoonia
"
5253.323806546632,86,133,0,"Philadelphus
"
4825.618192334329,55,84,0,"Phlomis
"
4737.957776074213,85,156,0,"Photinia
"
4309.407349073588,37,67,0,"Physocarpus
"
4939.756256008032,70,108,0,"Pieris (plant)
"
5579.235114430821,82,115,0,"Pistacia
"
4220.543429795914,72,101,0,"Pittosporum
"
4300.331148203021,51,82,0,"Plumbago
"
4466.064571258171,62,101,0,"Polygala
"
4515.88312727838,5,5,0,"Poncirus
"
5582.9577497890505,239,553,0,"Prunus
"
4334.507356979826,32,48,0,"Purshia
"
5036.491001564109,103,158,1,"Pyracantha
"
5903.686924589525,58,74,0,"Quassia
"
5749.730213166887,1665,3135,0,"Oak
"
3303.6053008428244,33,48,0,"Quillaja
"
1980.390022276979,5,9,0,"Quintinia
"
1703.8355978417824,2,2,0,"Buckthorn
"
5745.809746208068,535,1266,1,"Rhododendron
"
5003.146609576007,5,7,0,"Rhus
"
5047.562231097118,151,242,1,"Ribes
"
4877.81746771243,51,72,1,"Romneya
"
5766.953715367373,1609,3343,6,"Rose
"
5147.378948343345,57,66,0,"Rosmarinus
"
5649.898830388392,158,232,7,"Rubus
"
4796.643141744942,220,358,0,"Ruta
"
5548.548934166805,7,9,0,"Salix
"
6018.670188431065,759,1456,1,"Salvia
"
5357.8761333352195,586,964,9,"Sambucus
"
4155.9492943564,27,35,0,"Santolina
"
4550.460660395451,212,366,4,"Sapindus
"
5573.86983053544,142,260,3,"Senecio
"
5246.950811522813,217,370,1,"Jojoba
"
4395.752804010139,40,60,0,"Skimmia
"
5417.816516150439,123,196,3,"Smilax
"
4845.793810908924,91,183,0,"Sophora
"
3313.538402313148,17,25,0,"Sorbaria
"
4507.999045373669,71,103,0,"Spartium
"
4879.789485355151,119,193,0,"Spiraea
"
4254.7048212753825,38,49,0,"Staphylea
"
3362.8215513403816,19,34,0,"Stephanandra
"
4546.138524635023,83,136,0,"Styrax
"
4826.831129723438,84,136,0,"Symphoricarpos
"
5561.370951786377,335,541,0,"Syringa
"
5002.067903114051,209,348,1,"Tamarix
"
5294.876215556689,175,298,4,"Taxus
"
4742.152888254421,153,309,0,"Waratah
"
5413.649111381053,181,335,0,"Thuja
"
4384.519317928553,19,22,0,"Thymelaea
"
6018.670448938125,553,895,7,"Thyme
"
4313.488004618079,32,53,0,"Trochodendron
"
5038.5331518238545,202,347,0,"Ulex
"
4844.983324138761,34,51,0,"Ungnadia
"
